X1,variable,Division_Name,District_Name,District_Code,value,Column,Indicator_v2,Description,Source,Unit
11,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,FR Kohat,PK241,0.22118786,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
12,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Bannu,FR Lakki Marwat,PK242,0.646521353,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
13,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,FR Peshawar,PK243,0.586581815,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
14,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,FR Tank,PK244,0.499367845,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
15,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Hangu,PK208,0.205128523,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
16,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Haripur,PK209,0.185271447,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
17,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Karak,PK210,0.213503739,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
18,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Khyber,PK233,0.298137598,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
19,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Kohat,PK211,0.177049041,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
20,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Kohistan,PK212,1,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
21,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Kurram,PK234,0.494948225,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
22,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Bannu,Lakki Marwat,PK213,0.201488185,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
23,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Lower Dir,PK214,0.156580743,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
24,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Malakand PA,PK215,0.139313681,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
25,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Mansehra,PK216,0.238706346,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
26,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Mardan,PK217,0.124480407,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
27,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Mohmand,PK235,0.367019177,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
28,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,0.579374493,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
29,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Nowshera,PK218,0.120797147,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
30,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Orakzai,PK237,0.592827344,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
31,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Peshawar,PK219,0.106881633,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
32,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Shangla,PK220,0.420550263,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
33,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,South Waziristan,PK238,0.660167389,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
34,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Swabi,PK221,0.144029913,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
35,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,0.19800221,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
36,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,Tank,PK229,0.204404486,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
37,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Tor Ghar,PK231,0.630858026,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
38,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Upper Dir,PK230,0.385615327,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
39,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Abbottabad,PK201,0.226201391,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
40,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Bajaur,PK232,0.283100539,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
41,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Bannu,PK202,0.170232174,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
42,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Batagram,PK203,0.38228221,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
43,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Buner,PK204,0.267126531,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
44,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Charsadda,PK205,0.143512062,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
45,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Chitral,PK206,0.783744458,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
46,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Dera Ismail Khan,Dera Ismail Khan,PK207,0.246793856,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
47,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Bannu,FR Bannu,PK239,0.485577661,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
48,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Dera Ismail Khan,FR Dera Ismail Khan,PK240,0.717232072,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
49,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Kohat,FR Kohat,PK241,0.223106128,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
50,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Bannu,FR Lakki Marwat,PK242,0.633159449,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
51,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,FR Peshawar,PK243,0.567941057,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
52,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Dera Ismail Khan,FR Tank,PK244,0.482167789,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
53,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Kohat,Hangu,PK208,0.206401333,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
54,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Haripur,PK209,0.193297816,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
55,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Kohat,Karak,PK210,0.209586633,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
56,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Khyber,PK233,0.306936236,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
57,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Kohat,Kohat,PK211,0.18475356,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
58,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Kohistan,PK212,1,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
59,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Kurram,PK234,0.484402698,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
60,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Bannu,Lakki Marwat,PK213,0.200972528,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
61,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Lower Dir,PK214,0.157072962,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
62,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Malakand PA,PK215,0.147057976,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
63,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Mansehra,PK216,0.246932886,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
64,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Mardan,PK217,0.136633469,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
65,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Mohmand,PK235,0.379402884,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
66,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,North Waziristan,PK236,0.570033365,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
67,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Nowshera,PK218,0.133256336,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
68,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Orakzai,PK237,0.545436375,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
69,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Peshawar,PK219,0.119874801,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
70,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Shangla,PK220,0.421214721,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
71,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,0.672834395,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
72,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Swabi,PK221,0.152921793,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
73,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Swat,PK222,0.212883241,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
74,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Dera Ismail Khan,Tank,PK229,0.209541098,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
75,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Tor Ghar,PK231,0.626139376,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
76,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Upper Dir,PK230,0.373745478,H,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
77,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Abbottabad,PK201,0.242999951,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
78,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Bajaur,PK232,0.314498969,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
79,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Bannu,PK202,0.168259696,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
80,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Batagram,PK203,0.382224048,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
81,"Education Index, all types weighed equally (educ_eqwt_idx)",Mardan,Buner,PK204,0.296651221,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
82,"Education Index, all types weighed equally (educ_eqwt_idx)",Peshawar,Charsadda,PK205,0.171364448,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
83,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Chitral,PK206,0.642614489,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
