X1,variable,Division_Name,District_Name,District_Code,Tehsil_Name,Tehsil_Code,value,Column,Indicator_v2,Description,Source,Unit
30,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Kohistan,PK212,Dassu,PK21201,0.990947077,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
31,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Data Khel,PK23601,0.743702398,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
32,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,Dera Ismail Khan,PK207,Dera Ismail Khan,PK20703,0.147834201,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
33,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Upper Dir,PK230,Dir,PK23002,0.325223705,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
34,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bannu,PK202,Domel,PK20201,0.124023535,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
35,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Dossali,PK23606,0.277577323,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
36,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,FR Dera Ismail Khan,PK240,Drazanda,PK24001,0.486015751,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
37,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Buner,PK204,Gagra,PK20406,0.122788969,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
38,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Garyum,PK23602,0.481369203,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
39,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Haripur,PK209,Ghazi,PK20901,0.185653448,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
40,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Ghulam Khan,PK23603,0.354639637,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
41,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Mohmand,PK235,Halimzai,PK23507,0.121623639,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
42,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Hangu,PK208,Hangu,PK20802,0.113494362,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
43,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Haripur,PK209,Haripur,PK20902,0.117049704,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
44,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,FR Peshawar,PK243,Hassan Khel,PK24301,0.407253414,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
45,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Orakzai,PK237,Ismailzai,PK23704,0.337956671,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
46,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Khyber,PK233,Jamrud,PK23303,0.174921587,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
47,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,FR Tank,PK244,Jandola,PK24401,0.353866716,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
48,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Kabal,PK22208,0.107820171,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
49,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Kalam,PK22201,0.360443959,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
50,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Upper Dir,PK230,Kalkot,PK23001,0.760872258,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
51,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Karak,PK210,Karak,PK21003,0.133956098,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
52,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Mardan,PK217,Katlang,PK21701,0.099631178,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
53,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bajaur,PK232,Khar,PK23207,0.123582947,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
54,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Khwazakhela,PK22206,0.119529158,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
55,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Kohat,PK211,Kohat,PK21102,0.099862828,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
56,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,Dera Ismail Khan,PK207,Kulachi,PK20702,0.212991904,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
57,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Kohat,PK211,Lachi,PK21101,0.194400849,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
58,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,South Waziristan,PK238,Ladha,PK23804,0.491404739,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
59,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Swabi,PK221,Lahor,PK22102,0.096766017,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
60,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Bannu,Lakki Marwat,PK213,Lakki Marwat,PK21301,0.152530193,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
61,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Khyber,PK233,Landi Kotal,PK23301,0.237543522,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
62,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Kurram,PK234,Lower Kurram,PK23403,0.238623809,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
63,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Orakzai,PK237,Lower Orakzai,PK23702,0.380927478,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
64,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,South Waziristan,PK238,Makin,PK23803,0.498247229,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
65,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bajaur,PK232,Mamund,PK23204,0.202628834,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
66,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Mansehra,PK216,Mansehra,PK21603,0.129023879,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
67,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Mardan,PK217,Mardan,PK21703,0.085221887,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
68,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Shangla,PK220,Martung,PK22001,0.417792612,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
69,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Chitral,PK206,Mastuj,PK20601,0.708038403,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
70,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Matta Khararai,PK22204,0.123437851,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
71,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Matta Sebujni,PK22203,0.200443509,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
72,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Mir Ali,PK23609,0.178848033,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
73,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Miran Shah,PK23607,0.260871997,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
74,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bajaur,PK232,Nawagai,PK23205,0.183079901,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
75,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Nowshera,PK218,Nowshera,PK21802,0.083739907,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
76,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Mansehra,PK216,Oghi,PK21602,0.168965901,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
77,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Nowshera,PK218,Pabbi,PK21801,0.091136798,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
78,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,Dera Ismail Khan,PK207,Paharpur,PK20704,0.145571921,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
79,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Kohistan,PK212,Palas,PK21203,0.507177367,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
80,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Kohistan,PK212,Pattan,PK21202,0.621061815,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
81,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Peshawar,PK219,Peshawar,PK21901,0.075436839,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
82,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Mohmand,PK235,Pindiali,PK23504,0.254282797,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
83,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Buner,PK204,Pir Baba/ Gadaizi,PK20404,0.190785108,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
84,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Mohmand,PK235,Prang Ghar,PK23503,0.33983031,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
85,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Shangla,PK220,Puran,PK22005,0.244441547,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
86,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,North Waziristan,PK236,Razmak,PK23605,0.316137278,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
