X1,variable,Division_Name,District_Name,Tehsil_Name,value,Column,Source,Description,Unit
12,Aerosol_Exposure_Index,Hazara,Batagram,Batagram,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
13,Aerosol_Exposure_Index,Mardan,Buner,Chagharzai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
14,Aerosol_Exposure_Index,Mardan,Buner,Chamla,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
15,Aerosol_Exposure_Index,Mardan,Buner,Daggar,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
16,Aerosol_Exposure_Index,Mardan,Buner,Gagra,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
17,Aerosol_Exposure_Index,Mardan,Buner,Pir Baba/ Gadaizi,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
18,Aerosol_Exposure_Index,Mardan,Buner,Totalai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
19,Aerosol_Exposure_Index,Peshawar,Charsadda,Charsadda,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
20,Aerosol_Exposure_Index,Peshawar,Charsadda,Tangi,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
21,Aerosol_Exposure_Index,Malakand,Chitral,Chitral,0.468669885,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
22,Aerosol_Exposure_Index,Malakand,Chitral,Mastuj,3.130006484,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
23,Aerosol_Exposure_Index,Dera Ismail Khan,Dera Ismail Khan,Daraban,98.89053455,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
24,Aerosol_Exposure_Index,Dera Ismail Khan,Dera Ismail Khan,Dera Ismail Khan,84.34137301,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
25,Aerosol_Exposure_Index,Dera Ismail Khan,Dera Ismail Khan,Kulachi,100,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
26,Aerosol_Exposure_Index,Dera Ismail Khan,Dera Ismail Khan,Paharpur,39.12505016,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
27,Aerosol_Exposure_Index,Bannu,FR Bannu,Wazir,67.06711398,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
28,Aerosol_Exposure_Index,Dera Ismail Khan,FR Dera Ismail Khan,Drazanda,89.12821129,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
29,Aerosol_Exposure_Index,Kohat,FR Kohat,Darra Adam Khel,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
30,Aerosol_Exposure_Index,Bannu,FR Lakki Marwat,Bettani,7.662526037,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
31,Aerosol_Exposure_Index,Peshawar,FR Peshawar,Hassan Khel,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
32,Aerosol_Exposure_Index,Dera Ismail Khan,FR Tank,Jandola,39.81500714,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
33,Aerosol_Exposure_Index,Kohat,Hangu,Hangu,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
34,Aerosol_Exposure_Index,Kohat,Hangu,Tall,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
35,Aerosol_Exposure_Index,Hazara,Haripur,Ghazi,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
36,Aerosol_Exposure_Index,Hazara,Haripur,Haripur,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
37,Aerosol_Exposure_Index,Kohat,Karak,Banda Daud Shah,3.748896112,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
38,Aerosol_Exposure_Index,Kohat,Karak,Karak,26.84499298,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
39,Aerosol_Exposure_Index,Kohat,Karak,Takht E Nasrati,67.6289732,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
40,Aerosol_Exposure_Index,F.A.T.A.,Khyber,Bara,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
41,Aerosol_Exposure_Index,F.A.T.A.,Khyber,Jamrud,2.428248801,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
42,Aerosol_Exposure_Index,F.A.T.A.,Khyber,Landi Kotal,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
43,Aerosol_Exposure_Index,Kohat,Kohat,Kohat,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
44,Aerosol_Exposure_Index,Kohat,Kohat,Lachi,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
45,Aerosol_Exposure_Index,Hazara,Kohistan,Dassu,0.000103675,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
46,Aerosol_Exposure_Index,Hazara,Kohistan,Palas,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
47,Aerosol_Exposure_Index,Hazara,Kohistan,Pattan,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
48,Aerosol_Exposure_Index,F.A.T.A.,Kurram,Central Kurram,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
49,Aerosol_Exposure_Index,F.A.T.A.,Kurram,Lower Kurram,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
50,Aerosol_Exposure_Index,F.A.T.A.,Kurram,Upper Kurram,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
51,Aerosol_Exposure_Index,Bannu,Lakki Marwat,Lakki Marwat,99.88032462,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
52,Aerosol_Exposure_Index,Bannu,Lakki Marwat,Sarai Naurang,100,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
53,Aerosol_Exposure_Index,Malakand,Lower Dir,Samar Bagh,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
54,Aerosol_Exposure_Index,Malakand,Lower Dir,Timergara,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
55,Aerosol_Exposure_Index,Malakand,Malakand PA,Sam Ranizai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
56,Aerosol_Exposure_Index,Malakand,Malakand PA,Swat Ranizai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
57,Aerosol_Exposure_Index,Hazara,Mansehra,Balakot,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
58,Aerosol_Exposure_Index,Hazara,Mansehra,Mansehra,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
59,Aerosol_Exposure_Index,Hazara,Mansehra,Oghi,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
60,Aerosol_Exposure_Index,Mardan,Mardan,Katlang,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
61,Aerosol_Exposure_Index,Mardan,Mardan,Mardan,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
62,Aerosol_Exposure_Index,Mardan,Mardan,Takht Bhai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
63,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Ambar Utman Khel,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
64,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Halimzai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
65,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Pindiali,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
66,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Prang Ghar,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
67,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Safi,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
68,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Upper Momand,6.271401667,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
69,Aerosol_Exposure_Index,F.A.T.A.,Mohmand,Yaka Ghund,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
70,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Data Khel,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
71,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Dossali,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
72,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Garyum,11.65739461,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
73,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Ghulam Khan,5.091840686,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
74,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Mir Ali,68.4408398,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
75,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Miran Shah,18.13670816,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
76,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Razmak,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
77,Aerosol_Exposure_Index,F.A.T.A.,North Waziristan,Shewa,19.16060909,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
